jobTitle,jobSubTitle,jobSalary,applyNum,resumeReadPercent,jobWelfare,jobRequirement,jobCity,jobDescription,needNumber,positionTotal,companyCharacter,feedbackRation,companySize,creditCode,operatingStatus,regAddress,orgNumber,regCapital,companyIntro,Real/Fake
 客服专员/助理,母婴在线客服正常班无销售 ,3000-5000元/月,19,0,五险一金_周末双休_年底双薪_饭补_晋升机会多_每年免费体检_年会,中专_经验不限,bj, 在这里，时间灵活，周末双休在这里，团结友爱，欢声笑语在这里，动动手指，在线聊天就是工作在这里，给你家一般的温暖这里，正在寻找你，大宇宙未来的新星！工作职责：通过在线回复沟通解决顾客的资讯建议问题任职资格:1．中专及以上学历 ，年龄20-35周岁；2．熟练计算机及office操作；打字速度40字/分钟以上；3．宝妈优先录取！宝妈优先录取！宝妈优先录取！工作时间：朝九晚六 周末双休福利待遇：1、提供免费带薪培训2、基本底薪+补助+绩效+五险一金3、享有带薪的年假病假事假4、每年都会有2到3次的晋升机会，晋升的岗位是组长，主管，质检，培训讲师5、有丰富的公司活动还犹豫什么，宝妈们赶快加入我们吧！！！ ,2人,75,外商独资/办事处,0,500-999人,91110102671726654R,开业,北京市朝阳区常惠路6号楼13层3单元1302,671726654,100 万元,"北京特朗思信息技术服务有限公司
北京特朗思信息技术服务有限公司隶属上海特思尔大宇宙商务咨询有限公司。上海特思尔大宇宙是transcosmos集团在中国的全资子公司。集团创始于1966年，是具有46年资深专业经验的呼叫中心外包服务供应商，在全球外包服务供应商排名中位列第四名。
基于对市场的认识，transcosmos提出了Marketing Chain Management Company的概念，积极推进公司的事业发展。目前，我公司在全球范围内拥有超过15,000名营销管理专家、流程运营专家、技术和方案专家、专业服务人员，为众多世界500强企业提供长期的客户互动服务。transcosmos中国目前已拥有超过5000的座席规模，在全国多地设立运行中心，北京特朗思公司是transcosmos在中国业务发展的重要一环，成立于2007年，在短短五年的时间中，通过传承母公司先进的呼叫中心技术和运营理念，通过公司优秀管理团队的辛勤工作，已经取得了令人骄傲的成绩。公司为员工提供专业的培训，良好的发展空间，健全的薪酬体系。
我们诚挚邀请热爱客服工作，愿意接受挑战的年轻朋友加入我们不断成长的团队，与公司携手共进。",0
 出租车司机,月薪过万招司机 ,5000-10000元/月,209,66,包住_包吃_五险一金,学历不限_3-5年,bj, 岗位职责：负责把乘客安全 舒适接送到目的地服务好每一位乘客 遵守交通规则 不可违法乱纪 不开赌气车 不可饮酒开车 .任职资格：三年驾龄 无犯罪记录 会使用导航工作时间：出车时间合理安排，每天不低于5计费小时，有宿舍 ,100人,10,私营,100,50-99人,91110113MA01ATQJ2E,开业,北京市顺义区南法信镇金穗路2号院5号楼3层307室,MA01ATQJ2,500 万元,公司从事租赁服务，可自驾租车，可包车旅游，代人叫车，酒店接送，私家车托管。,1
 助理业务跟单,急招有经验业务跟单包吃住 ,4000-6000元/月,80,0,包吃_包住_五险一金,学历不限_3-5年,sz," 电话联系优先安排面试岗位职责：1、负责协助业务员开展日常工作。2、完成上级领导交代的其他工作任务。 任职资格：1、40岁以下，男女不限，工作认真细心，服从管理、爱岗敬业,3-5年工作经验。2、团队协作精神强，有良好的人际交往和沟通协调反馈能力、工作质优高效、服务和配合意识佳。3、有英文听说写能力或有沙发厂外贸跟单工作经验优先。工作时间：每天八小时，休星期天+法定节假日正常休息薪资待遇：4000-6000，具体可面谈，五险一金，包吃住 ",2人,8,私营,20,500-999人,91440300568542566L,存续（在营、开业、在册）,深圳市龙岗区坪地街道坪西社区龙岭北路76号1栋、3号厂房、4号厂房,568542566,100.000000万人民币,"深圳名博家私集团创建于2006年11月，是全球知名的集功能、休闲沙发研发、生产、销售于一体的专业化家私制造集团。产品出口亚洲、欧洲、美洲、中东等80多个国家和地区，厂房占地面积3万余平方米，员工500余人。本公司通过了ISO9001国际质量管理体系认证，荣获中国温州商会会长单位、深圳家具协会副会长单位、深圳市龙岗区工商联副会长单位、巴西国际奥运会沙发指定生产单位、英国联邦运动会沙发指定生产单位、热心慈善杰出贡献企业、杰出爱心企业等称号。旗下“深圳市英莎驰智能科技家居用品有限公司”生产的高档沙发及全国上百家专
卖店和“惠州市博洋智能科技有限公司”生产的优质海棉企业，已跻身于中国极具影响力的内销家具和海棉品牌企
业行列。
    公司秉承以人为本，注重人才培养和爱护，坚持创新、学习、团结、共赢的发展思路，努力担当社会责任，为成为百年名企而共同努力奋斗。公司提供三餐及住宿，作业与生活环境良好，货源充足，工资合理，每月出粮准时，因集团飞速发展需要，良好的发展与创新平台诚邀各领域精英加盟，欢迎到厂洽谈，请加手机微信同号详谈或直接电联。",1
 普工,广州包住空调车间 ,5000-8000元/月,2,98,五险一金_包吃_包住_周末双休_年底双薪_房补_话补_交通补助_饭补_加班补助_夜班补贴_绩效补贴_生活补贴,"学历不限_经验不限,可接收应届生",gz, 在这里没有职位高低，大家都是来自五湖四海的兄弟姐妹， 未来很遥远。相识便是缘 ，成为同事更是难得 ，别为自己的选择留下遗憾！我们企业最讲究的就是人性化，我们一线员工的满意决定领导的绩效。同时，我们每3个月有一次晋升考核。确保新人工作舒适，新人有发展机会。当天过来的面试人员，错过面试时间，我们企业免费为大家提供住宿，仅仅针对带行李的人员。第二天一早，就能安排入职。*本公司主要生产手机、电脑主机、显示器以及相关电子元器配件。生产岗位有组装，包装，检测，扫描，贴标签，工作简单，都是坐班岗位，着普通工衣。岗位如有不适。可以向领导申请调换岗位。长白班和长夜班，也是可以向领导反馈进行更换。现在订单比较多，赶货中，是属于我们的旺季，我们会给予丰厚的报酬奖励，不要犹豫。*厂区绿化环境好，车间属于恒温车间，环境舒适，宿舍配备空调、各生活相关设施配套齐全。.招聘要求：年满16-44岁，持有效身份证，身体健康！无不良记录！有其他疑问可直接来电咨询。.工资待遇：1、小时工：16-20（元）/小时，每月260-300/个小时，+（岗位津贴、全勤奖），月收入：5000一6800元。2、正式工：底薪2100一2550（元），5天8小时，超过算加班（平时加班1.5倍、周末加班2倍，节假日3倍），+（岗位津贴、绩效奖、全勤奖），月收入：5000一6800元。3、工作时间：8:00-18:00，每天工作10个小时左右，工作轻松又不累！4、月休4天，法定节假日必定放假！.其他福利：1、饭堂免费提供4菜一汤，口味多样任选。2、宿舍4-6人/间，提供热水，有WIFI，空调，独立卫生间等。3、公司为员工购买社保（五险一金）。4、免费发放冬季、夏季工衣2套。5、厂区内设有超市、网吧、图书馆、体育馆等。.报名方式：1、直接来电咨询或者在线咨询留下联系方式；2、点击申请职位，直接投递个人简历;我们会在收到您的简历或者留言信息后，第一时间安排人事专员和您联系。面试请随身携带好个人相关证件以及行李物品，当天会安排入职与宿舍分配。 ,100人,204,私营,53,100-499人,91440101MA59GDXA9G,存续,广州市黄埔区蟹山西路67号101E105（仅限办公用途）,MA59GDXA9,1000万人民币元,"企业从事生产行业已有10余年，对生产的专业知识相当完善。下好生产订单后，能在规定的时间内提前完工。对员工人性化管理，合理分配休息时间，上班时间。又能有质量，以及产量。 长期的好口碑效应，使得工厂订单稳定，员工收入稳定。想多加班的员工，能拿高工资。一切以人为中心。福利好员工，才能有产量。 主要生产华为，苹果手机，以及笔记本电脑，等等流行的电子产品。 部门有生产部，组装部，包装部，分拣部，仓库部，质检部等。 隶属鸿海科技集团，是全球3C（计算机、通讯、消费性电子）代工领域规模最大、成长最快、评价最高的国际集团，集团旗下公司不仅于台湾、香港、伦敦等证券交易所挂牌交易，更囊括当前台湾最大的企业、捷克前三大出口商、大中华地区最大出口商、富比士及财富全球五百大企业，及全球3C代工服务领域龙头等头衔。
问题记录续费销售通话记录发帖列表历史订单账户明细商机详情商机联系人工单列表客户档案发贴日志",1
 外贸专员/助理,急外贸业务五险一金包吃住 ,薪资面议,58,0,五险一金_包吃_包住,"高中_1-2年,可接收应届生",sz, 岗位职责：1、负责外贸业务的国际市场拓展和客户维护。2、完成上级领导交代的其他工作任务。 任职资格：1、男女不限，年龄不限，强烈的事业心和责任感，工作有激情、敢于挑战和突破自己。2、英语听说写符合工作需求、团队协作精神强、良好的人际交往和沟通协调反馈能力、工作质优高效、服从安排、服务和配合意识佳。3、有沙发厂外贸工作经验。工作时间：每天八小时，休星期天+法定节假日正常休息 ,2人,8,私营,20,500-999人,91440300568542566L,存续（在营、开业、在册）,深圳市龙岗区坪地街道坪西社区龙岭北路76号1栋、3号厂房、4号厂房,568542566,100.000000万人民币,"深圳名博家私集团创建于2006年11月，是全球知名的集功能、休闲沙发研发、生产、销售于一体的专业化家私制造集团。产品出口亚洲、欧洲、美洲、中东等80多个国家和地区，厂房占地面积3万余平方米，员工500余人。本公司通过了ISO9001国际质量管理体系认证，荣获中国温州商会会长单位、深圳家具协会副会长单位、深圳市龙岗区工商联副会长单位、巴西国际奥运会沙发指定生产单位、英国联邦运动会沙发指定生产单位、热心慈善杰出贡献企业、杰出爱心企业等称号。旗下“深圳市英莎驰智能科技家居用品有限公司”生产的高档沙发及全国上百家专
卖店和“惠州市博洋智能科技有限公司”生产的优质海棉企业，已跻身于中国极具影响力的内销家具和海棉品牌企
业行列。
    公司秉承以人为本，注重人才培养和爱护，坚持创新、学习、团结、共赢的发展思路，努力担当社会责任，为成为百年名企而共同努力奋斗。公司提供三餐及住宿，作业与生活环境良好，货源充足，工资合理，每月出粮准时，因集团飞速发展需要，良好的发展与创新平台诚邀各领域精英加盟，欢迎到厂洽谈，请加手机微信同号详谈或直接电联。",1
 销售代表,销售代表 ,5000-8000元/月,1,100,五险一金_年底双薪,高中_经验不限,sh," 表达能力强,具有较强沟通能力及交际技巧,有亲和力,有销售经验者优先 ",None,11,股份制,67,500-999人,91310109062589316C,存续（在营、开业、在册）,上海市虹口区物华路73号1号楼2层8226—8230室,062589316,50万人民币,"工作地址是上海市杨浦区江浦路1092号，无责任底薪 5500+高提成，真实的同行最高（绝对没有任何罚款制度没有任何业绩考核）
2.  超高提成，提点业绩的15%-70%。绝对领先同行……
3.  提供住宿，家庭式宿舍：有专职阿姨打扫卫生，洗衣熨衣；专职宿舍管理员负责安全及卫生；
4.  月休7天：做六休一之外每月1、2、3号连休3天亲情小长假，给你去看世界；
5.  年终红利：提成之外，业绩的7%作为孝心红利
6.  完善的带薪培训体系：哪怕你是小白，只要你够努力，就没有不可能；
7.  员工季度、年度旅游、部门团建活动、员工生日会等等不一一赘述……

【任职要求】
　　1.  高中学历即可及以上；
　　2.  年龄为18-35岁；
　　3.  良好的沟通能力；
　　4.  有梦想，有执行力，勤奋，吃苦耐劳，敢于为梦想拼搏。

【公司简介】
　　上海六星集团公司自2013年创立以来，一直秉承“为人类美好的安居生活做出贡献，追求全体员工物质与精神两方面的幸福”的经营使命快速发展，到目前，集团已发展至下涉及六星地产、六星美化、六星装饰三个子公司，业务范围涉及虹口、杨浦、静安等区的二手房产销售、租赁、房屋美化以及装饰、设计等；员工人数超过700人。目前是全行业人均业绩、人均收入最高的。

【企业理念】
为人类美好的安居生活做出贡献，追求全体员工物质与精神两方面幸福！

【企业精神】
只要通过持续的学习和创新，那么就一切皆有可能！

【企业核心价值观】
仁爱、勤奋、信任、实事求是、拥有伟大的梦想、批评与自我批评。

【年终红利】
　　在我们已经超过所有同行收入的情况下，公司依然选择每年拿出营业额的7%作为亲情红利发放给员工的父母或亲人，只为他们对员工的期盼与骄傲护航。

【亲情假期】
　　每个月除了固定每周的休息之外，每个月的1.2.3号额外放三天亲情小长假。因为我们虽然非常注重艰苦奋斗，但我们更不愿放弃对父母、家人、孩子的爱，一起陪伴你的另一半出去看看外面的世界，即使这样做公司每年会损失2000万。",0
 市场拓展,业务拓展专员高薪 ,薪资面议,2,100,五险一金_话补_房补_交通补助_绩效奖金,学历不限_经验不限,gz, 工作内容：工作职责：1.制定和策划可行的工作计划和预算，检查公司市场规划和渠道策略运作，保证执行效果；2.拓展业务渠道，推动和调动公司资源进行客户目标市场拓展；3.对客户的需求进行深入研究和主动响应，制定相应的营销方案，为客户定制个性化的产品，建立长期合作关系；4.负责和监督营销活动的策划和实施。岗位要求：1、公共关系、市场营销专业优先录取。2.、 两年以上业务拓展和大客户销售相关工作经验；具有较强的陌生拜访及挖掘客户能力；具备销售计划，销售提案、向客户或公司其他人员销售适合其层级的价值定位的高度技巧；对业务的财务指标和额度具备一定的理解能力；具备持续的在销售业绩和利润目标的要求下及巨大的时间压力下完成工作的能力；具备与他人合作，对他人进行指导，和与他人进行沟通的工作能力。3、能适应全国性出差，年龄28-45岁，男士优先。工作时间和享有福利：1、每周6天工作制，周一至周六8:30-12点，1:30-18：00，逢周日休息2、按国家规定享受带薪假（病假、年假、婚假、产假等）+各类法定节假日；3、购买社保等国家规定各项保险；4、公司人性化管理，温馨的工作氛围，舒适的办公环境；公司各类丰富的团队活动。 ,10人,6,私营,63,100-499人,9144011175941767XB,存续,广州市白云区北太路1633号广州民营科技园科华路11号弘实商务大厦202房,75941767X,1000万人民币元,"海沃家具（中国）有限公司作为国际高端的办公家具研发及制造商，创立于1996年10月，以PDT系统作为运作平台，致力于全球办公使用高科技应用及环境完善，拥有完善的研发、生产、销售、物流、服务系统。是中国为数不多的集设计研发、生产制造、品牌运营于一体的办公家具专业领域“一站式”配套的大型运营商。
海沃秉承欧洲简约主义风格，传续其在10余年中所积淀的深厚的人本观念与前端设计精髓，始终致力于“创塑完美办公空间”。
        经过积极拓展，引进意大利、德国流水线生产设备，以一流的工艺技术，严格执行ISO9001-2000产品质量管理标准，无论是原材料的采购，半成品的存储，还是产品的生产，皆力求符合国际水准。而ISO14001环境管理体系的导入，更强有力地保证了产品的高品质，由此获得驱动自身发展的强劲动力。
        未来的海沃，将会一直坚持PDT企业核心理念，以更专业的设计、更完美的产品、更优质高效的服务，服务于每一个客户，致力于成为中国最佳的一站式办公家具提供者。",1
 销售代表,4500底薪餐饮招商顾问 ,10000-20000元/月,25,100,五险一金_话补_加班补助_包住_包吃_年底双薪_交通补助_饭补_房补_年终奖_免费培训,学历不限_经验不限,sh, 职位描述：1、电话与意向客户（公司广告推广获取的有效资源）进行加盟流程沟通；2、电话邀约意向客户来总部考察与培训；3、来访客户全程协助接待、销售洽谈与谈判、意向合同、正式合同的签订；4、签约客户的后续执行沟通服务。职位要求：1、高中及以上学历，年龄22～35岁；2、有1年以上销售工作经验，有过电话销售或招商销售工作经验者优先；3、具有良好的沟通表达能力，具备较好的销售谈单技能与技巧；4、抗压能力强。薪资福利：1、工资待遇：无责任底薪、带薪专业技能培训，提成+每月激励政策（单数奖励、大单奖励、新秀奖励、月冠军个人奖励、（月激励奖金范围在1000～30000之间），一般工资范围在8000～30000不等；2、签订正式劳动合同，缴纳相应社会保险；3、员工生日礼品；4、定期团建活动：聚餐、拓展等。晋升机会：1、 加盟顾问——资深顾问——带组经理——部门经理；2、 内部晋升职位：公司招募职位以内部竞选员工优先。 ,30人,9,个人企业,68,50-99人,91310116301632845M,存续（在营、开业、在册）,上海市金山区朱泾镇新农亭枫公路2318号6幢2054室,301632845,1000万人民币,"公司简介
上海凤泉餐饮企业管理有限公司成立于
2014年。公司具有专业的产品、研发、
销售、培训、设备器具、原物料销售服
务团队,是一家具备市场营销策划、餐
饮规划研发,餐饮设备器具原物料配套
的综合性创意营运公司。我们打破市场
的零散性,将市场规划为一个整体,以
公司的品牌门店为主要号召力,以产
研发和销售为突破口,以原物料等有续
经营为产业支柱,对中国大陆连锁餐饮
市场施以招募培训、扶持开店、品牌直
营和合作联营等方式,最终努力成为中
国具有影响力的餐饮产业链。
经过多年的技术沉淀,拥有了以研究和传
授技术配方为核心的管理团队,为创业者
提供时尚、前沿、流行、经典的加盟创业
项目。",0
 店员/营业员,天娇世家高薪店员晋升高 ,4000-4500元/月,0,100,五险一金_饭补_房补_福利多多,学历不限_经验不限,sz, 苏宁连锁小店，开始招聘啦~~~(全深圳都有门店，宝安。南山，福田，罗湖，龙岗，龙华，光明新区，坪山。就近安排哦，面试在总部罗湖区老街，就近分配到各区域门店工作，要来的小哥哥，小姐姐，抓紧时间报名，就近分配。薪资高，福利好， 环境棒棒哒~岗位职责：1、接待顾客的咨询，了解顾客的需求并达成销售；2、负责做好货品销售记录、盘点、账目核对等工作，按规定完成各项销售统计工作；3、完成商品的来货验收、上架陈列摆放、补货、退货、防损等日常营业工作；4、做好所负责区域的卫生清洁工作；5、完成上级领导交办的其他任务。上班地址：全深圳大部分均有门店，就近分配。薪资待遇：1、底薪3000+500房补+300餐补+门店各类奖励津贴 ，综合薪资： 4000-4500.工作时间：早班：7:00-15:00 中班：9:00-17:00 晚班： 14:00-22:00 （注：苏宁小店无夜班，无通宵班，都是白班，不限制区域）任职资格：1、高中以上学历；2、有相关工作经验者优先；3、具有较强的沟通能力及服务意识，吃苦耐劳；4、年龄18-40岁，男女不限，身体健康 ,20人,134,上市公司,70,1000人以上,91440300MA5DT5QN3P,注销,深圳市龙华新区民治街道向南三区4栋4楼,MA5DT5QN3,,"起点人力资源股份有限公司成立于2003年，总部位于武汉，是湖北省首家挂牌新三板的人力资源企业（股票代码833417），下设八家全资（控股）子公司、40多家分公司，是湖北省中基层人力资源服务知名品牌。
    成立15年来，公司专注于人力资源服务外包和业务外包，打造了一支专业、敬业的职业化员工管理团队。起点人力立足湖北实现了跨越式发展，目前业务已辐射到湖南、江苏、安徽、江西、广东、广西等省份的60多个地区，与500多家政府机关、优质企业建立了长期稳定的战略合作关系，有效管理服务外包人员5万多人，员工主要分布在通信服务、金融保险、公共服务、交通服务、高端制造、商贸物流等领域。
     起点人力始终以尊重人的价值为使命，坚持以客户为中心，以培养更多的“大国工匠”为工作目标，以成为“最值得依赖的中层人力资源外包服务商”为企业愿意，以人为本，不忘初心，坚持创新驱动，坚持战略引领，紧扣时代脉搏，倡导共建同享共赢，识才爱才用才容才聚才，为建设人才强国、工匠大国而贡献自己的价值！
      起点人期盼您的信任与支持！让我们共同携手，带着梦想上路，去拥抱人力资源行业的春天！",1
 销售代表,收入稳定+高福利+高自由 ,10000-20000元/月,0,76,年底双薪_高提成_开单奖_员工团建旅游,学历不限_经验不限,sh, 诚聘：18-32岁房产经纪人，男女不限职位描述您好，这里是上海锐远房地产人事部，现公司快速发展扩张，发展空间巨大！我是公司招聘经理孙经理（欢迎点击“微聊”与我在线或直接电话沟通丨也可投递简历）------------------------------------------------------在这里，我们可以给你：（公司提供住宿方案，做房产，不用担心没有住的地方）1、有人年近40岁，薪水目标仅3000--5000元！思考：我想知道你前20年都干了什么？放弃每一次机会都是对家庭和生命的辜负!2、有人高中学历，想要工作轻松，薪水10000！思考：请问你值这么多钱吗，你有何专项技能？你想天上掉馅饼吗？3、有人23岁，要求工作稳定，上5休2，早9晚5，工作轻松，不累。目标5000元就可以了！思考：请问，你多大？在等什么？你打算带上你的家人一起等吗？你不知道这样的日子越过越穷吗？我已经为你准备好了，你学历不高没有关系，你先天条件不好没有关系，你没有经验也没有关系！只要你有：（1）努力赚钱的决心！（2）努力学好的信心！（3）水滴石穿的恒心！你若坚持，我必支持…………诚聘：18-32岁房产经纪人，男女不限薪酬如下：打酱油：5000左右正常做：10000左右认真做：30000左右勤奋好学悟性强：100000以上不要以为这是虚的，大把真实案例摆在这里，只要你勤奋、积极正面、好学！［上海锐远房地产］诚聘优秀有梦想的销售精英一起创富！上海锐远房地产是你最好的选择！无责底薪+提成模式，转正后平均收入8000以上。薪——想要高薪，只要你愿意满——满载的不仅是你的钱包，还有你的理想益——收益金钱、学识和技能足——足够的发展空间，“薪、满、益、足”，上海锐远地产会让你心满意足。时间流逝我们无法阻止，当机会来敲门时?你还在等什么？高薪不是梦，就看你敢不敢想。不吃苦要青春干嘛！等你来挑战 ！如果你想加入一支有战斗力、有梦想、有欢乐的团队，选择上海锐远地产！ ,10人,6,私营,100,100-499人,91310107MA1G07088C,存续（在营、开业、在册）,上海市普陀区红棉路336号,MA1G07088,,上海锐远房地产经纪事务所，办公室地址位于中国大城市，魔都上海，上海 上海市普陀区红棉路336号，我单位主要提供房地产经纪。,0
